date_ingested,decklist_id,favorites,likes,comments
2025-09-21T03:40:29.094Z,55781,0,1,0
2025-09-21T03:40:29.714Z,55743,0,0,0
2025-09-21T03:40:30.292Z,55744,0,0,0
2025-09-21T03:40:30.853Z,55746,0,0,0
2025-07-23T07:52:41.840Z,55747,0,0,0
2025-07-23T07:52:42.358Z,55748,0,0,0
2025-09-21T03:40:32.365Z,55749,2,2,0
2025-09-21T03:40:32.972Z,55733,0,0,0
2025-09-21T03:40:33.541Z,55734,1,1,0
2025-09-21T03:40:34.144Z,55735,0,0,0
2025-09-21T03:40:34.713Z,55736,1,1,0
2025-09-21T03:40:35.315Z,55737,0,0,0
2025-09-21T03:40:35.885Z,55738,0,0,0
2025-09-21T03:40:36.470Z,55739,0,0,0
2025-09-21T03:40:37.052Z,55742,0,0,0
2025-09-21T03:40:37.619Z,55725,0,0,0
2025-12-07T03:55:36.317Z,55726,37,45,11
2025-09-21T03:40:38.772Z,55727,0,0,0
2025-09-21T03:40:39.343Z,55728,0,1,0
2025-09-21T03:40:39.917Z,55729,0,0,0
2025-09-21T03:40:40.514Z,55730,0,0,0
2025-07-23T07:52:51.293Z,55731,0,0,0
2025-09-21T03:40:41.991Z,55714,0,0,0
2025-09-21T03:40:42.882Z,55715,0,0,0
2025-09-21T03:40:43.461Z,55716,0,0,0
2025-09-21T03:40:44.041Z,55717,0,0,0
2025-09-21T03:40:44.628Z,55718,0,0,0
2025-09-21T03:40:45.191Z,55719,0,0,0
2025-09-21T03:40:45.786Z,55720,0,0,0
2025-09-21T03:40:46.362Z,55722,0,0,0
2025-09-21T03:40:46.918Z,55723,0,0,0
2025-09-21T03:40:47.498Z,55724,0,1,0
2025-09-21T03:40:48.093Z,55693,0,0,0
2025-09-21T03:40:48.662Z,55694,1,0,2
2025-09-21T03:40:49.225Z,55695,2,2,0
2025-09-21T03:40:49.803Z,55696,0,0,0
2025-09-21T03:40:50.397Z,55697,0,0,0
2025-09-21T03:40:50.963Z,55698,0,0,0
2025-09-21T03:40:51.564Z,55699,0,0,0
2025-09-21T03:40:52.140Z,55700,0,1,0
2025-09-21T03:40:52.758Z,55701,0,0,0
2025-09-21T03:40:53.335Z,55702,0,0,0
2025-09-21T03:40:53.977Z,55703,0,0,0
2025-09-21T03:40:54.554Z,55704,0,0,0
2025-09-21T03:40:55.135Z,55705,0,0,0
2025-09-21T03:40:55.711Z,55706,0,0,0
2025-09-21T03:40:56.287Z,55707,0,0,0
2025-09-21T03:40:56.858Z,55708,0,0,0
2025-09-21T03:40:57.420Z,55709,0,0,0
2025-09-21T03:40:58.027Z,55710,0,0,0
2025-09-21T03:40:58.634Z,55711,0,0,0
2025-09-21T03:40:59.219Z,55712,0,0,0
2025-09-21T03:40:59.784Z,55713,0,0,0
2025-09-21T03:41:00.426Z,55680,0,0,0
2025-09-21T03:41:01.061Z,55681,0,0,0
2025-09-21T03:41:01.628Z,55682,0,0,0
2025-09-21T03:41:02.192Z,55683,0,0,0
2025-12-14T03:58:24.838Z,55684,27,47,12
2025-09-21T03:41:03.373Z,55685,0,0,0
2025-09-21T03:41:03.987Z,55687,0,0,0
2025-09-21T03:41:04.564Z,55688,0,0,0
2025-09-21T03:41:05.150Z,55689,0,0,0
2025-09-21T03:41:05.718Z,55690,0,0,0
2025-09-21T03:41:06.299Z,55691,0,0,0
2025-09-21T03:41:06.872Z,55692,0,0,0
2025-09-14T03:35:53.740Z,55674,1,2,0
2025-09-14T03:35:54.307Z,55675,0,1,0
2025-09-14T03:35:54.902Z,55676,0,0,0
2025-09-14T03:35:55.523Z,55677,0,0,0
2025-09-14T03:35:56.102Z,55678,0,0,0
2025-09-14T03:35:56.682Z,55679,0,0,0
2025-09-14T03:35:57.253Z,55635,0,0,0
2025-09-14T03:35:57.840Z,55636,0,0,0
2025-09-14T03:35:58.479Z,55637,0,0,0
2025-09-14T03:35:59.118Z,55638,0,0,0
2025-09-14T03:35:59.696Z,55639,0,0,0
2025-09-14T03:36:00.344Z,55640,0,0,0
2025-09-14T03:36:01.038Z,55641,0,0,0
2025-09-14T03:36:01.620Z,55642,0,3,10
2025-09-14T03:36:02.179Z,55643,0,0,0
2025-09-14T03:36:02.765Z,55644,0,0,0
2025-09-14T03:36:03.341Z,55645,0,0,0
2025-09-14T03:36:03.913Z,55646,0,0,0
2025-09-14T03:36:04.488Z,55647,0,0,0
2025-09-14T03:36:05.067Z,55648,0,0,0
2025-09-14T03:36:05.637Z,55649,0,0,0
2025-09-14T03:36:06.212Z,55650,1,1,0
2025-09-14T03:36:06.773Z,55610,0,1,0
2025-09-14T03:36:07.376Z,55612,0,0,0
2025-09-14T03:36:07.947Z,55613,2,6,0
2025-09-14T03:36:08.549Z,55614,0,0,0
2025-09-14T03:36:09.157Z,55615,0,0,0
2025-09-14T03:36:09.759Z,55616,0,0,0
2025-09-14T03:36:10.353Z,55617,0,0,0
2025-09-14T03:36:11.585Z,55618,0,0,0
2025-09-14T03:36:12.150Z,55619,0,0,0
2025-09-14T03:36:12.736Z,55620,0,0,0
2025-09-14T03:36:13.305Z,55604,0,0,0
2025-09-14T03:36:13.928Z,55605,0,0,0
2025-09-14T03:36:14.492Z,55606,0,0,0
2025-09-14T03:36:15.080Z,55607,0,0,0
2025-09-14T03:36:15.652Z,55608,0,0,0
2025-09-14T03:36:16.226Z,55609,0,0,0
2025-09-14T03:36:16.807Z,55591,0,0,0
2025-09-14T03:36:17.384Z,55592,0,0,0
2025-09-14T03:36:17.978Z,55594,9,16,0
2025-09-14T03:36:18.599Z,55595,2,2,0
2025-09-14T03:36:19.187Z,55596,0,0,0
2025-09-14T03:36:19.750Z,55597,0,0,0
2025-09-14T03:36:20.368Z,55598,0,0,0
2025-09-14T03:36:21.013Z,55599,0,0,0
2025-09-14T03:36:21.589Z,55600,0,0,0
2025-09-14T03:36:22.170Z,55601,0,0,0
2025-09-14T03:36:22.775Z,55585,0,0,0
2025-09-14T03:36:23.352Z,55586,0,0,0
2025-09-14T03:36:23.928Z,55587,0,0,0
2025-09-14T03:36:24.518Z,55588,1,1,0
2025-09-14T03:36:25.110Z,55589,4,4,1
2025-09-14T03:36:25.671Z,55590,0,0,0
2025-09-14T03:36:26.273Z,55573,0,0,0
2025-09-14T03:36:26.859Z,55574,0,0,0
2025-09-14T03:36:27.452Z,55575,0,0,0
2025-09-14T03:36:28.052Z,55576,0,0,0
2025-09-14T03:36:28.623Z,55577,0,0,0
2025-09-14T03:36:29.510Z,55578,0,0,0
2025-09-14T03:36:30.108Z,55579,1,1,0
2025-09-14T03:36:30.675Z,55580,0,0,0
2025-09-14T03:36:31.242Z,55582,1,2,0
2025-09-14T03:36:31.808Z,55583,0,0,0
2025-09-14T03:36:32.407Z,55584,0,0,0
2025-09-07T03:36:21.044Z,55569,0,0,0
2025-09-07T03:36:21.552Z,55570,0,0,0
2025-09-07T03:36:22.081Z,55571,0,0,0
2025-09-07T03:36:22.604Z,55560,0,0,0
2025-09-07T03:36:23.137Z,55561,0,0,0
2025-09-07T03:36:23.646Z,55562,0,0,0
2025-09-07T03:36:24.173Z,55563,0,0,0
2025-09-07T03:36:24.699Z,55564,0,0,0
2025-09-07T03:36:25.261Z,55565,0,0,0
2025-09-07T03:36:25.820Z,55566,0,0,0
2025-09-07T03:36:26.370Z,55567,0,0,0
2025-09-07T03:36:26.915Z,55568,0,0,0
2025-09-07T03:36:27.431Z,55546,0,0,0
2025-09-07T03:36:27.988Z,55547,0,0,0
2025-09-07T03:36:28.526Z,55548,0,0,0
2025-09-07T03:36:29.067Z,55549,0,0,0
2025-09-07T03:36:29.586Z,55550,1,1,0
